"","gridID","presence","year","predictedValue"
"278","X12-183",1,"2016",1
"279","X12-183",1,"2016",1
"280","X12-183",1,"2016",1
"281","X12-183",1,"2016",1
"282","X12-183",1,"2016",1
"283","X12-183",1,"2016",1
"284","X12-183",1,"2016",1
"285","X12-183",1,"2016",0
"286","X12-183",1,"2016",1
"287","X12-183",1,"2016",0
"288","X12-183",1,"2016",0
"289","X12-183",1,"2016",0
"290","X12-183",1,"2016",1
"291","X12-183",1,"2016",1
"292","X12-183",1,"2016",0
"293","X12-183",1,"2016",0
"294","X12-183",1,"2016",1
"295","X12-183",1,"2016",1
"296","X12-183",1,"2016",1
"297","X12-183",1,"2016",1
"298","X12-183",1,"2016",1
"299","X12-183",1,"2016",1
"300","X12-183",1,"2016",1
"301","X12-183",1,"2016",1
"302","X12-183",1,"2016",1
"303","X12-183",1,"2016",1
"304","X12-183",1,"2016",1
"305","X12-183",0,"2016",0
"306","X12-183",0,"2016",0
"307","X12-183",0,"2016",0
"308","X12-183",0,"2016",0
"309","X12-183",0,"2016",0
"310","X12-183",0,"2016",0
"311","X12-183",0,"2016",0
"312","X12-183",0,"2016",0
"313","X12-183",0,"2016",0
"314","X12-183",0,"2016",0
"315","X12-183",0,"2016",0
"316","X12-183",0,"2016",0
"317","X12-183",0,"2016",0
"318","X12-183",0,"2016",0
"319","X12-183",0,"2016",0
"320","X12-183",0,"2016",0
"321","X12-183",0,"2016",0
"322","X12-183",0,"2016",0
"323","X12-183",0,"2016",0
"324","X12-183",0,"2016",0
"325","X12-183",0,"2016",0
"326","X12-183",0,"2016",0
"327","X12-183",0,"2016",0
"328","X12-183",0,"2016",0
"329","X12-183",0,"2016",0
"330","X12-183",0,"2016",0
"331","X12-183",0,"2016",0
"332","X12-183",0,"2016",0
"333","X12-183",0,"2016",0
"334","X12-183",0,"2016",0
"335","X12-183",0,"2016",0
"336","X12-183",0,"2016",0
"337","X12-183",0,"2016",0
"338","X12-183",0,"2016",0
"339","X12-183",0,"2016",0
"340","X12-183",0,"2016",0
"341","X12-183",0,"2016",0
"342","X12-183",0,"2016",0
"343","X12-183",0,"2016",0
"344","X12-183",0,"2016",0
"345","X12-183",0,"2016",0
"346","X12-183",0,"2016",0
"347","X12-183",0,"2016",0
"348","X12-183",0,"2016",0
"349","X12-183",0,"2016",0
"350","X12-183",0,"2016",1
"351","X12-183",0,"2016",0
"352","X12-183",0,"2016",0
"353","X12-183",0,"2016",0
"354","X12-183",0,"2016",0
"355","X12-183",0,"2016",0
"356","X12-183",0,"2016",0
"357","X12-207",1,"2016",1
"358","X12-207",1,"2016",1
"359","X12-207",1,"2016",1
"360","X12-207",1,"2016",1
"361","X12-207",1,"2016",1
"362","X12-207",1,"2016",1
"363","X12-207",1,"2016",1
"364","X12-207",1,"2016",0
"365","X12-207",1,"2016",1
"366","X12-207",1,"2016",1
"367","X12-207",1,"2016",1
"368","X12-207",1,"2016",0
"369","X12-207",1,"2016",0
"370","X12-207",1,"2016",0
"371","X12-207",1,"2016",0
"372","X12-207",1,"2016",1
"373","X12-207",1,"2016",1
"374","X12-207",1,"2016",1
"375","X12-207",1,"2016",0
"376","X12-207",1,"2016",0
"377","X12-207",1,"2016",1
"378","X12-207",1,"2016",1
"379","X12-207",1,"2016",1
"380","X12-207",1,"2016",1
"381","X12-207",1,"2016",1
"382","X12-207",1,"2016",1
"383","X12-207",1,"2016",1
"384","X12-207",1,"2016",1
"385","X12-207",1,"2016",0
"386","X12-207",1,"2016",1
"387","X12-207",1,"2016",0
"388","X12-207",1,"2016",1
"389","X12-207",1,"2016",0
"390","X12-207",1,"2016",1
"391","X12-207",1,"2016",1
"392","X12-207",1,"2016",1
"393","X12-207",1,"2016",0
"394","X12-207",1,"2016",1
"395","X12-207",1,"2016",0
"396","X12-207",1,"2016",1
"397","X12-207",1,"2016",0
"398","X12-207",1,"2016",1
"399","X12-207",1,"2016",1
"400","X12-207",1,"2016",1
"401","X12-207",1,"2016",1
"402","X12-207",1,"2016",0
"403","X12-207",1,"2016",1
"404","X12-207",1,"2016",1
"405","X12-207",1,"2016",0
"406","X12-207",1,"2016",0
"407","X12-207",1,"2016",1
"408","X12-207",1,"2016",1
"409","X12-207",1,"2016",1
"410","X12-207",1,"2016",1
"411","X12-207",1,"2016",1
"412","X12-207",1,"2016",1
"413","X12-207",1,"2016",0
"414","X12-207",1,"2016",1
"415","X12-207",1,"2016",0
"416","X12-207",1,"2016",1
"417","X12-207",1,"2016",1
"418","X12-207",1,"2016",1
"419","X12-207",1,"2016",1
"420","X12-207",1,"2016",1
"421","X12-207",1,"2016",1
"422","X12-207",0,"2016",0
"423","X12-207",0,"2016",0
"424","X12-207",0,"2016",0
"425","X12-207",0,"2016",0
"426","X12-207",0,"2016",0
"427","X12-207",0,"2016",0
"428","X12-207",0,"2016",0
"429","X12-207",0,"2016",0
"430","X12-207",0,"2016",0
"431","X12-207",0,"2016",0
"432","X12-207",0,"2016",0
"433","X12-207",0,"2016",0
"434","X12-207",0,"2016",0
"435","X12-207",0,"2016",0
"436","X12-207",0,"2016",0
"437","X12-207",0,"2016",0
"438","X12-207",0,"2016",0
"439","X12-207",0,"2016",0
"440","X12-207",0,"2016",0
"441","X12-207",0,"2016",0
"442","X12-207",0,"2016",0
"443","X12-207",0,"2016",0
"444","X12-207",0,"2016",0
"445","X12-207",0,"2016",0
"446","X12-207",0,"2016",0
"447","X12-207",0,"2016",0
"448","X12-207",0,"2016",0
"449","X12-207",0,"2016",0
"450","X12-207",0,"2016",0
"451","X12-207",0,"2016",0
"452","X12-207",0,"2016",0
"453","X12-207",0,"2016",0
"454","X12-207",0,"2016",0
"455","X12-207",0,"2016",0
"456","X12-207",0,"2016",0
"457","X12-207",0,"2016",0
"458","X12-207",0,"2016",0
"459","X12-207",0,"2016",0
"460","X12-207",0,"2016",0
"461","X12-207",0,"2016",0
"462","X12-207",0,"2016",0
"463","X12-207",0,"2016",0
"464","X12-207",0,"2016",0
"465","X12-207",0,"2016",0
"466","X12-207",0,"2016",0
"467","X12-207",0,"2016",0
"468","X12-207",0,"2016",0
"469","X12-207",0,"2016",0
"470","X12-207",0,"2016",0
"471","X12-207",0,"2016",0
"472","X12-207",0,"2016",0
"473","X12-207",0,"2016",0
"474","X12-207",0,"2016",0
"475","X12-207",0,"2016",0
"476","X12-207",0,"2016",0
"477","X12-207",0,"2016",0
"478","X12-207",0,"2016",0
"479","X12-207",0,"2016",0
"480","X12-207",0,"2016",0
"481","X12-207",0,"2016",0
"482","X12-207",0,"2016",0
"483","X12-207",0,"2016",0
"484","X12-207",0,"2016",0
"485","X12-207",0,"2016",0
"486","X12-207",0,"2016",0
"487","X12-207",0,"2016",0
